Network,Metric Type,Metric,Market,Region,Country,Operator name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1Q 2015,2Q 2015,3Q 2015,4Q 2015,1Q 2016,2Q 2016,3Q 2016,4Q 2016,1Q 2017,2Q 2017,3Q 2017,4Q 2017,1Q 2018,2Q 2018,3Q 2018,4Q 2018,1Q 2019,2Q 2019,3Q 2019,4Q 2019,1Q 2020,2Q 2020,3Q 2020,4Q 2020,1Q 2021,2Q 2021,3Q 2021,4Q 2021,1Q 2022,2Q 2022,4Q 2022,1Q 2023,2Q 2023,3Q 2023,4Q 2023,1Q 2024,2Q 2024,3Q 2024,Operator Type,MNO,Group,Service,Technology,PayTv service platform,Device,Mobile plan,Standerdisation,Metric definition
Mobile,Connections,total,Total,Sub-SaharanAfrica,SouthAfrica,Rain,0.0,0.0,0,0,0,0,0,0,0,0,0,0,19578,45683,368715,525015,652065,812604,0,0,0,0,0,0,0,0,0,0,0,0,0,6526,13052,19578,26105,32631,39157,45683,52209,168253,285620,368715,411207,448170,485054,525015,563179,597721,626729,652065,683529,708100,753513,812604,875056,943674,laterentrant,Rain,Unknown,Totals,Totals,Notspecified,Totals,All,Standardised,Mobile/Connections/total|Publicationdate:24September2024Basedonhistoricaldatauptoquarter2of2024|TotalactivemobileconnectionsexcludingIoTthatishandsetandmobilebroadbandconnectionsonly.Activesubscribersarethosethathaveusedtheirmobileaccountinthepast3months.Connectionsmetricsrelatetotheend-of-periodfigure.OperatorNotes:ThisoperatorisclassifiedasMobile:laterentrant.Operatorattribution:mobilesubscribersarecountedonanetworkorwholesalebasis(thatiswherecustomersofserviceproviderswithouttheirownnetworkinfrastructureareallocatedtothenetworkoperator(s)thatsupport(s)theirservice).(Totalmarketvaluesarethesameforconnectionsmetricsonaretailornetworkbasissincethedifferenceisonlyintheallocationofsubscriberstooperator.)
Mobile,Connections,total,Total,Sub-SaharanAfrica,SouthAfrica,Totalmarket,33918666.0,39354478.0,44892088,45825875,48244923,57592015,64941674,69924924,78137635,81855109,86069556,92204192,99990491,99049052,103474850,110387594,112682952,117868925,79173774,80551076,80702927,81855109,80757760,80098593,82776905,86069556,86910613,90578561,91322508,92204192,93119763,95730515,96815903,99990491,99292001,99384785,99268216,99049052,95029490,92895238,99568722,103474850,104393177,105979389,108218312,110387594,109815792,110824718,112601277,112682952,111369073,111948955,113435250,117868925,117741036,116256204,Unknown,Unknown,Unknown,Totals,Totals,Notspecified,Totals,All,Standardised,Mobile/Connections/total|Publicationdate:24September2024Basedonhistoricaldatauptoquarter2of2024|TotalactivemobileconnectionsexcludingIoTthatishandsetandmobilebroadbandconnectionsonly.Activesubscribersarethosethathaveusedtheirmobileaccountinthepast3months.Connectionsmetricsrelatetotheend-of-periodfigure.Operatorattribution:mobilesubscribersarecountedonanetworkorwholesalebasis(thatiswherecustomersofserviceproviderswithouttheirownnetworkinfrastructureareallocatedtothenetworkoperator(s)thatsupport(s)theirservice).(Totalmarketvaluesarethesameforconnectionsmetricsonaretailornetworkbasissincethedifferenceisonlyintheallocationofsubscriberstooperator.)
Mobile,Connections,total,Total,Sub-SaharanAfrica,Tanzania,Vodacom,5975580.0,3909942.0,5505826,7031755,8901988,12010096,9747575,10853346,12471029,13411706,13158958,13661137,14969050,16525084,16431532,16713284,19019181,22173937,12860233,12680990,13228362,13411706,13077733,12770222,13080438,13158958,13420247,13373322,13646776,13661137,13665417,14074918,14816901,14969050,15032136,15235940,15680353,16525084,16424134,15558540,15792582,16431532,16781855,16789328,16892854,16713284,17563723,18032438,18558168,19019181,19391367,19961120,21445390,22173937,23024261,24027202,secondentrant,Vodacom,Vodafone,Totals,Totals,Notspecified,Totals,All,Standardised,Mobile/Connections/total|Publicationdate:24September2024Basedonhistoricaldatauptoquarter2of2024|TotalactivemobileconnectionsexcludingIoTthatishandsetandmobilebroadbandconnectionsonly.Activesubscribersarethosethathaveusedtheirmobileaccountinthepast3months.Connectionsmetricsrelatetotheend-of-periodfigure.OperatorNotes:ThisoperatorisclassifiedasMobile:secondentrant.Operatorattribution:mobilesubscribersarecountedonanetworkorwholesalebasis(thatiswherecustomersofserviceproviderswithouttheirownnetworkinfrastructureareallocatedtothenetworkoperator(s)thatsupport(s)theirservice).(Totalmarketvaluesarethesameforconnectionsmetricsonaretailornetworkbasissincethedifferenceisonlyintheallocationofsubscriberstooperator.)
Mobile,Connections,total,Total,Sub-SaharanAfrica,Tanzania,AxianTelecom,760874.0,1203715.0,2615795,4267976,4597033,5630957,6636246,6642709,9107326,13661727,13520344,12739359,14538940,14490627,14782247,15204306,16675345,20533006,9788183,10610147,11241004,13661727,13981210,13780201,14010803,13520344,13006555,13103725,12680109,12739359,13123997,13863489,14252692,14538940,14491400,13637994,13617252,14490627,14292216,14269358,14144543,14782247,15321118,14862016,15246965,15204306,15634334,15652133,16084624,16675345,17348381,18257214,18968121,20533006,21116822,22392131,secondentrant,AxianTelecom,Unknown,Totals,Totals,Notspecified,Totals,All,Standardised,Mobile/Connections/total|Publicationdate:24September2024Basedonhistoricaldatauptoquarter2of2024|TotalactivemobileconnectionsexcludingIoTthatishandsetandmobilebroadbandconnectionsonly.Activesubscribersarethosethathaveusedtheirmobileaccountinthepast3months.Connectionsmetricsrelatetotheend-of-periodfigure.OperatorNotes:ThisoperatorisclassifiedasMobile:secondentrant.PreviouslyTigo.TheacquisitiondealofTigobyAxianwassignedinApril2022andapprovedbytheregulatorinJuly2022.Operatorattribution:mobilesubscribersarecountedonanetworkorwholesalebasis(thatiswherecustomersofserviceproviderswithouttheirownnetworkinfrastructureareallocatedtothenetworkoperator(s)thatsupport(s)theirservice).(Totalmarketvaluesarethesameforconnectionsmetricsonaretailornetworkbasissincethedifferenceisonlyintheallocationofsubscriberstooperator.)
Mobile,Connections,total,Total,Sub-SaharanAfrica,Tanzania,ZanzibarTelecom(Zantel),355246.0,685617.0,1076697,1408254,1745922,1573246,3201740,1907574,1815440,0,0,0,0,0,0,0,0,0,1827138,1721184,1650406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,firstentrant,ZanzibarTelecom(Zantel),Unknown,Totals,Totals,Notspecified,Totals,All,Standardised,Mobile/Connections/total|Publicationdate:24September2024Basedonhistoricaldatauptoquarter2of2024|TotalactivemobileconnectionsexcludingIoTthatishandsetandmobilebroadbandconnectionsonly.Activesubscribersarethosethathaveusedtheirmobileaccountinthepast3months.Connectionsmetricsrelatetotheend-of-periodfigure.OperatorNotes:ThisoperatorisclassifiedasMobile:firstentrant.Operatorattribution:mobilesubscribersarecountedonanetworkorwholesalebasis(thatiswherecustomersofserviceproviderswithouttheirownnetworkinfrastructureareallocatedtothenetworkoperator(s)thatsupport(s)theirservice).(Totalmarketvaluesarethesameforconnectionsmetricsonaretailornetworkbasissincethedifferenceisonlyintheallocationofsubscriberstooperator.)
Mobile,Connections,total,Total,Sub-SaharanAfrica,Tanzania,Airtel,1516832.0,2530855.0,3931919,5016000,6181818,7224605,8704266,9489266,10086565,11653486,11078742,11526816,11593909,13414407,14540608,15439191,17382634,19957357,10252726,10865705,11503161,11653486,11324707,10914974,11123314,11078742,10836359,10974915,11224545,11526816,11675819,11803198,11568456,11593909,12118004,12214814,12595343,13414407,14105268,13845583,14311357,14540608,14524565,14878618,15382365,15439191,15471668,16037823,17013408,17382634,17824631,18278884,19285249,19957357,19939275,20300502,fourthentrant,Airtel,Airtel,Totals,Totals,Notspecified,Totals,All,Standardised,Mobile/Connections/total|Publicationdate:24September2024Basedonhistoricaldatauptoquarter2of2024|TotalactivemobileconnectionsexcludingIoTthatishandsetandmobilebroadbandconnectionsonly.Activesubscribersarethosethathaveusedtheirmobileaccountinthepast3months.Connectionsmetricsrelatetotheend-of-periodfigure.OperatorNotes:ThisoperatorisclassifiedasMobile:fourthentrant.Operatorattribution:mobilesubscribersarecountedonanetworkorwholesalebasis(thatiswherecustomersofserviceproviderswithouttheirownnetworkinfrastructureareallocatedtothenetworkoperator(s)thatsupport(s)theirservice).(Totalmarketvaluesarethesameforconnectionsmetricsonaretailornetworkbasissincethedifferenceisonlyintheallocationofsubscriberstooperator.)
Mobile,Connections,total,Total,Sub-SaharanAfrica,Tanzania,Halotel,0.0,0.0,0,0,0,0,0,0,0,1293964,3643260,4034499,4172297,4894244,7171798,7561981,8398296,8891387,0,0,0,1293964,1900600,2823373,3275644,3643260,3711775,4030255,3998039,4034499,3766611,3868983,4129448,4172297,3925377,4465982,4583238,4894244,5476785,6347708,6721258,7171798,7777343,7965216,7740502,7561981,7449883,7364458,7638329,8398296,8513779,8781761,8624076,8891387,9684582,10220900,laterentrant,Halotel,Unknown,Totals,Totals,Notspecified,Totals,All,Standardised,Mobile/Connections/total|Publicationdate:24September2024Basedonhistoricaldatauptoquarter2of2024|TotalactivemobileconnectionsexcludingIoTthatishandsetandmobilebroadbandconnectionsonly.Activesubscribersarethosethathaveusedtheirmobileaccountinthepast3months.Connectionsmetricsrelatetotheend-of-periodfigure.OperatorNotes:ThisoperatorisclassifiedasMobile:laterentrant.Operatorattribution:mobilesubscribersarecountedonanetworkorwholesalebasis(thatiswherecustomersofserviceproviderswithouttheirownnetworkinfrastructureareallocatedtothenetworkoperator(s)thatsupport(s)theirservice).(Totalmarketvaluesarethesameforconnectionsmetricsonaretailornetworkbasissincethedifferenceisonlyintheallocationofsubscriberstooperator.)
Mobile,Connections,total,Total,Sub-SaharanAfrica,Tanzania,TanzaniaTelecommunicationsCompany(TTCL),0.0,0.0,0,0,0,0,0,0,164970,174536,176291,321433,621458,954011,937115,1829423,1475933,1634928,169390,172953,174380,174536,176262,177033,176327,176291,222378,298843,234278,321433,366333,462068,447729,621458,765126,675187,819170,954011,1174003,659822,799881,937115,1068592,1291054,1481718,1829423,1890403,1795274,1482518,1475933,1490864,1540910,1604498,1634928,1658616,1696064,laterentrant,TanzaniaTelecommunicationsCompany(TTCL),Unknown,Totals,Totals,Notspecified,Totals,All,Standardised,Mobile/Connections/total|Publicationdate:24September2024Basedonhistoricaldatauptoquarter2of2024|TotalactivemobileconnectionsexcludingIoTthatishandsetandmobilebroadbandconnectionsonly.Activesubscribersarethosethathaveusedtheirmobileaccountinthepast3months.Connectionsmetricsrelatetotheend-of-periodfigure.OperatorNotes:ThisoperatorisclassifiedasMobile:laterentrant.Operatorattribution:mobilesubscribersarecountedonanetworkorwholesalebasis(thatiswherecustomersofserviceproviderswithouttheirownnetworkinfrastructureareallocatedtothenetworkoperator(s)thatsupport(s)theirservice).(Totalmarketvaluesarethesameforconnectionsmetricsonaretailornetworkbasissincethedifferenceisonlyintheallocationofsubscriberstooperator.)
Mobile,Connections,total,Total,Sub-SaharanAfrica,Tanzania,otheroperators,0.0,3333.0,3054,3168,27950,7626,755,0,633580,1645931,851082,139627,140012,0,0,0,0,0,950872,1268499,1479134,1645931,1218461,933668,657866,851082,940183,878867,541258,139627,140121,140222,140070,140012,140103,140285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown,Totals,Totals,Notspecified,Totals,All,Standardised,Mobile/Connections/total|Publicationdate:24September2024Basedonhistoricaldatauptoquarter2of2024|TotalactivemobileconnectionsexcludingIoTthatishandsetandmobilebroadbandconnectionsonly.Activesubscribersarethosethathaveusedtheirmobileaccountinthepast3months.Connectionsmetricsrelatetotheend-of-periodfigure.OperatorNotes:ThisoperatorisclassifiedasMobile:n/a.Operatorattribution:mobilesubscribersarecountedonanetworkorwholesalebasis(thatiswherecustomersofserviceproviderswithouttheirownnetworkinfrastructureareallocatedtothenetworkoperator(s)thatsupport(s)theirservice).(Totalmarketvaluesarethesameforconnectionsmetricsonaretailornetworkbasissincethedifferenceisonlyintheallocationofsubscriberstooperator.)
Mobile,Connections,total,Total,Sub-SaharanAfrica,Tanzania,Totalmarket,8608532.0,8333463.0,13133291,17727152,21454710,26446530,28290581,28892895,34278910,41841350,42428678,42422871,46035668,50278374,53863299,56748185,62951389,73190614,35848542,37319478,39276447,41841350,41678974,41399471,42324392,42428678,42137497,42659928,42325006,42422871,42738298,44212878,45355295,46035668,46472146,46370203,47295356,50278374,51472406,50681011,51769621,53863299,55473473,55786233,56744403,56748185,58010012,58882125,60777047,62951389,64569022,66819888,69927334,73190614,75423557,78636799,Unknown,Unknown,Unknown,Totals,Totals,Notspecified,Totals,All,Standardised,Mobile/Connections/total|Publicationdate:24September2024Basedonhistoricaldatauptoquarter2of2024|TotalactivemobileconnectionsexcludingIoTthatishandsetandmobilebroadbandconnectionsonly.Activesubscribersarethosethathaveusedtheirmobileaccountinthepast3months.Connectionsmetricsrelatetotheend-of-periodfigure.Operatorattribution:mobilesubscribersarecountedonanetworkorwholesalebasis(thatiswherecustomersofserviceproviderswithouttheirownnetworkinfrastructureareallocatedtothenetworkoperator(s)thatsupport(s)theirservice).(Totalmarketvaluesarethesameforconnectionsmetricsonaretailornetworkbasissincethedifferenceisonlyintheallocationofsubscriberstooperator.)
